,Date,Site,Treatment,Species,Reporting_units,Mean_flux,sd,se,Crop
1,3/27/2024,HF,Cover Crop + CPS N + Compost,CO2,g CO2-C m^-2 d^-1,1.648987437,0.393456453,0.160627924,Iceberg
2,4/3/2024,HF,Cover Crop + CPS N + Compost,CO2,g CO2-C m^-2 d^-1,1.582293231,0.512866122,0.229360702,Iceberg
3,4/6/2024,HF,Cover Crop + CPS N + Compost,CO2,g CO2-C m^-2 d^-1,1.296112687,0.410514123,0.167591689,Iceberg
4,4/11/2024,HF,Cover Crop + CPS N + Compost,CO2,g CO2-C m^-2 d^-1,1.783998851,0.481913814,0.196740491,Iceberg
5,4/15/2024,HF,Cover Crop + CPS N + Compost,CO2,g CO2-C m^-2 d^-1,1.712203883,0.446226684,0.257629096,Iceberg
6,4/17/2024,HF,Cover Crop + CPS N + Compost,CO2,g CO2-C m^-2 d^-1,1.894253964,0.465135476,0.208014909,Iceberg
7,4/25/2024,HF,Cover Crop + CPS N + Compost,CO2,g CO2-C m^-2 d^-1,3.39878289,2.291865993,0.935650373,Iceberg
8,4/26/2024,HF,Cover Crop + CPS N + Compost,CO2,g CO2-C m^-2 d^-1,3.393947093,1.872750917,1.081233246,Iceberg
9,4/29/2024,HF,Cover Crop + CPS N + Compost,CO2,g CO2-C m^-2 d^-1,3.648431727,2.34675058,0.958056913,Iceberg
10,5/1/2024,HF,Cover Crop + CPS N + Compost,CO2,g CO2-C m^-2 d^-1,2.654390259,1.078314701,0.539157351,Iceberg
11,5/7/2024,HF,Cover Crop + CPS N + Compost,CO2,g CO2-C m^-2 d^-1,1.748859771,1.097082495,0.447882053,Iceberg
12,5/8/2024,HF,Cover Crop + CPS N + Compost,CO2,g CO2-C m^-2 d^-1,2.035392795,1.234527085,0.712754545,Iceberg
13,5/9/2024,HF,Cover Crop + CPS N + Compost,CO2,g CO2-C m^-2 d^-1,3.880626038,0.302443997,0.174616123,Iceberg
14,5/10/2024,HF,Cover Crop + CPS N + Compost,CO2,g CO2-C m^-2 d^-1,3.581126647,1.229469055,0.50192864,Iceberg
15,5/11/2024,HF,Cover Crop + CPS N + Compost,CO2,g CO2-C m^-2 d^-1,1.859899749,1.406968793,0.812313811,Iceberg
16,5/14/2024,HF,Cover Crop + CPS N + Compost,CO2,g CO2-C m^-2 d^-1,2.867099564,0.45738789,0.186727824,Iceberg
17,5/17/2024,HF,Cover Crop + CPS N + Compost,CO2,g CO2-C m^-2 d^-1,6.295148013,2.262174853,1.30606726,Iceberg
18,5/18/2024,HF,Cover Crop + CPS N + Compost,CO2,g CO2-C m^-2 d^-1,2.464685576,0.367805104,0.212352376,Iceberg
19,5/20/2024,HF,Cover Crop + CPS N + Compost,CO2,g CO2-C m^-2 d^-1,3.454989506,0.160323699,0.092562931,Iceberg
20,5/21/2024,HF,Cover Crop + CPS N + Compost,CO2,g CO2-C m^-2 d^-1,2.644604517,1.144296366,0.80913972,Iceberg
21,5/23/2024,HF,Cover Crop + CPS N + Compost,CO2,g CO2-C m^-2 d^-1,5.11736186,4.448197606,2.224098803,Iceberg
22,5/24/2024,HF,Cover Crop + CPS N + Compost,CO2,g CO2-C m^-2 d^-1,2.039500109,1.706704181,0.763261313,Iceberg
23,5/25/2024,HF,Cover Crop + CPS N + Compost,CO2,g CO2-C m^-2 d^-1,1.395804283,0.964180162,0.482090081,Iceberg
24,5/26/2024,HF,Cover Crop + CPS N + Compost,CO2,g CO2-C m^-2 d^-1,2.824198304,0.206794448,0.146225756,Iceberg
25,3/27/2024,HF,Cover Crop + CPS N + Compost,N2O,mg N2O-N m^-2 d^-1,0.388176978,0.204047893,0.083302204,Iceberg
26,4/3/2024,HF,Cover Crop + CPS N + Compost,N2O,mg N2O-N m^-2 d^-1,0.262744357,0.162145365,0.072513612,Iceberg
27,4/6/2024,HF,Cover Crop + CPS N + Compost,N2O,mg N2O-N m^-2 d^-1,0.183543797,0.093243055,0.038066318,Iceberg
28,4/11/2024,HF,Cover Crop + CPS N + Compost,N2O,mg N2O-N m^-2 d^-1,0.249095153,0.086540842,0.035330151,Iceberg
29,4/15/2024,HF,Cover Crop + CPS N + Compost,N2O,mg N2O-N m^-2 d^-1,0.305513692,0.131299055,0.075805545,Iceberg
30,4/17/2024,HF,Cover Crop + CPS N + Compost,N2O,mg N2O-N m^-2 d^-1,0.270721856,0.122690391,0.054868811,Iceberg
31,4/25/2024,HF,Cover Crop + CPS N + Compost,N2O,mg N2O-N m^-2 d^-1,8.349145111,4.021675622,1.641842197,Iceberg
32,4/26/2024,HF,Cover Crop + CPS N + Compost,N2O,mg N2O-N m^-2 d^-1,6.435811962,2.393375726,1.38181612,Iceberg
33,4/29/2024,HF,Cover Crop + CPS N + Compost,N2O,mg N2O-N m^-2 d^-1,3.652711151,2.23300871,0.911621988,Iceberg
34,5/1/2024,HF,Cover Crop + CPS N + Compost,N2O,mg N2O-N m^-2 d^-1,1.667166629,0.37399871,0.186999355,Iceberg
35,5/7/2024,HF,Cover Crop + CPS N + Compost,N2O,mg N2O-N m^-2 d^-1,2.421951162,1.349762854,0.551038377,Iceberg
36,5/8/2024,HF,Cover Crop + CPS N + Compost,N2O,mg N2O-N m^-2 d^-1,1.775929439,1.548854453,0.894231535,Iceberg
